,season,first_name,last_name,position,origin,destination,transfer_date,rating,stars,eligibility
1968,2022,Robert,Ferrel,WR,Incarnate Word,Washington State,2022-03-18T05:00:00.000Z,,,Immediate
1969,2022,Bucky,Williams,IOL,Appalachian State,Appalachian State,2022-03-28T15:27:00.000Z,,,Immediate
1970,2022,Sean,Ryan,WR,West Virginia,Rutgers,2022-01-07T16:47:00.000Z,0.85,3.0,Immediate
1971,2022,Javian,Hester,WR,Missouri,Oklahoma,2022-04-28T16:45:00.000Z,0.88,3.0,Immediate
1972,2022,Caden,McNeese,P,North Texas,,2022-04-14T17:34:00.000Z,,,Immediate
1973,2022,Trent,Davis,RB,Duke,Jacksonville State,2022-04-27T19:58:00.000Z,,3.0,Immediate
1974,2022,La'Dareyen,Craig,CB,South Carolina,,2022-06-23T19:58:00.000Z,0.88,3.0,Immediate
1975,2022,Jahmin,Muse,S,Boston College,Buffalo,2021-11-30T16:54:00.000Z,0.84,3.0,Immediate
1976,2022,Austin,Weiner,OT,Kansas State,Louisiana Monroe,2022-04-01T14:38:00.000Z,,3.0,Immediate
1977,2022,Ryan,Bujcevski,P,Texas,SMU,2022-02-21T17:57:00.000Z,,3.0,Immediate
1978,2022,Jazston,Turnetine,OT,South Carolina,Florida State,2022-04-29T20:20:00.000Z,0.86,3.0,Immediate
1979,2022,Parker,Navarro,QB,UCF,Ohio,2022-04-18T18:54:00.000Z,,3.0,Immediate
